website_url,load_time_seconds,timestamp
https://flocard.app/,1.942,20:01:57 10-09-2025
https://floco.in/,0.639,20:01:57 10-09-2025
https://floco.in/mukul0412,1.598,20:01:59 10-09-2025
https://flocard.app/,2.403,20:02:26 10-09-2025
https://floco.in/,0.743,20:02:27 10-09-2025
https://floco.in/mukul0412,2.385,20:02:30 10-09-2025
https://flocard.app/,1.479,20:04:54 10-09-2025
https://floco.in/,0.407,20:04:55 10-09-2025
https://floco.in/mukul0412,1.936,20:04:57 10-09-2025
https://flocard.app/,10.238,20:06:27 10-09-2025
https://floco.in/,0.584,20:06:28 10-09-2025
https://floco.in/mukul0412,1.698,20:06:29 10-09-2025
https://floco.in/,0.383,20:10:26 10-09-2025
https://floco.in/mukul0412,3.169,20:10:29 10-09-2025
https://flocard.app/,1.469,20:14:25 10-09-2025
https://floco.in/,1.641,20:14:27 10-09-2025
https://floco.in/mukul0412,2.051,20:14:29 10-09-2025
https://google.com,2.673,20:14:32 10-09-2025
https://flocard.app/,1.078,20:14:34 10-09-2025
https://floco.in/,0.398,20:14:35 10-09-2025
https://floco.in/mukul0412,1.567,20:14:36 10-09-2025
https://google.com,4.392,20:14:41 10-09-2025
